Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
Close>WMA34,3566.6741504191614,58.279345456192935,-50.18349076921974,1.353233584556254,49.53902888752305,1627
Close>WMA33,3454.7270767437262,57.65490962957212,-49.55513766898128,1.3425453024593497,49.38725490196079,1632
Close>EMA60,3591.039001116298,58.413043695636716,-50.42466757862282,1.3309401325269312,51.416256157635466,1624
Close>DEMA30,3325.4535291320003,56.91211176013071,-46.70547262342954,1.3182084968721766,46.99157641395909,1662
Close>EMA57,3420.5463401214224,57.460831226347445,-54.22071686205414,1.3174130612784274,51.11111111111111,1620
Close>EMA56,3394.291587185343,57.31063699679806,-55.356942737407536,1.3150683005103823,51.14409400123686,1617
Close>EMA54,3169.6243074119648,55.98349716475213,-56.0265214794649,1.2954814368400371,50.86206896551724,1624
Close>EMA59,3210.028542171016,56.22792105733727,-54.29622031679872,1.2953522214962865,51.2646514497224,1621
Close>EMA55,3163.1275495793416,55.94394959086249,-56.80229334668023,1.2933399984576637,50.89230769230769,1625
Close>EMA58,3100.5937029129273,55.5597343037813,-54.22071686205414,1.2848364008979343,51.048088779284825,1622
Close>TEMA30,2350.1581745933213,50.35021981431462,-62.438206961852885,1.1912890402291367,45.26252263126131,1657
